CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
1579.01,4,Queens,157901,4157901,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,13516.73276870000,9833175.32744999975
1579.02,4,Queens,157902,4157902,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,11455.79689670000,7773114.06926000025
1579.03,4,Queens,157903,4157903,I,QN44,Glen Oaks-Floral Park-New Hyde Park,4105,12918.42745210000,7335307.35004999954
18,4,Queens,001800,4001800,I,QN53,Woodhaven,4111,6172.66982998000,1912263.18558999989
20,4,Queens,002000,4002000,E,QN53,Woodhaven,4111,5805.07815897000,1548759.18277000007
204,4,Queens,020400,4020400,E,QN61,Jamaica,4112,8843.42767984000,3087690.43143999996
27.02,2,Bronx,002702,2002702,E,BX39,Mott Haven-Port Morris,3710,6090.61441629000,1674949.61129999999
30,4,Queens,003000,4003000,I,QN53,Woodhaven,4111,5595.28959936000,1200464.70302999998
32,4,Queens,003200,4003200,E,QN53,Woodhaven,4111,5665.18916341000,1791170.46246000007
323,2,Bronx,032300,2032300,I,BX22,North Riverdale-Fieldston-Riverdale,3701,11241.68595090000,6017168.65025999956
1129,4,Queens,112900,4112900,I,QN46,Bayside-Bayside Hills,4104,9020.31269631000,3764154.23313000007
267,4,Queens,026700,4026700,E,QN29,Elmhurst,4107,6496.95205725000,2259540.12583999988
345,2,Bronx,034500,2034500,I,BX22,North Riverdale-Fieldston-Riverdale,3701,7760.48294707000,2976383.62064999994
369.01,2,Bronx,036901,2036901,E,BX17,East Tremont,3705,4385.26966212000,1054250.14743999997
369.02,2,Bronx,036902,2036902,E,BX17,East Tremont,3705,3456.82748598000,686266.89670100005
730,3,Brooklyn,073000,3073000,I,BK58,Flatlands,4009,7708.75097134000,1989618.32007999998
732,3,Brooklyn,073200,3073200,I,BK58,Flatlands,4009,5560.72749977000,1717669.29404000007
389,2,Bronx,038900,2038900,E,BX06,Belmont,3705,5457.19887526000,1860955.30038999999
470,4,Queens,047000,4047000,I,QN61,Jamaica,4112,6632.60460983000,2471021.62556000007
233.01,2,Bronx,023301,2023301,E,BX41,Mount Hope,3707,4498.01258292000,1272740.91818000004
235.01,2,Bronx,023501,2023501,E,BX41,Mount Hope,3707,4891.91082364000,731673.28915700002
165,2,Bronx,016500,2016500,E,BX01,Claremont-Bathgate,3705,7491.01024581000,2041029.92201999994
403.02,2,Bronx,040302,2040302,E,BX05,Bedford Park-Fordham North,3706,4475.29422593000,682700.66163800005
267.02,2,Bronx,026702,2026702,E,BX28,Van Cortlandt Village,3701,6366.48318675000,1819284.59150999994
409,2,Bronx,040900,2040900,E,BX28,Van Cortlandt Village,3701,15483.13676360000,12554440.95370000042
480,4,Queens,048000,4048000,I,QN61,Jamaica,4112,6510.42484588000,2484765.33540000021
500,4,Queens,050000,4050000,E,QN07,Hollis,4112,10937.19759640000,3612066.14900999982
64,2,Bronx,006400,2006400,E,BX08,West Farms-Bronx River,3709,5786.32889127000,1838840.26350999996
233.02,2,Bronx,023302,2023302,E,BX41,Mount Hope,3707,3601.91151131000,678959.32282700005
235.02,2,Bronx,023502,2023502,E,BX41,Mount Hope,3707,6434.82454061000,1034951.04000000004
188,4,Queens,018800,4018800,I,QN76,Baisley Park,4112,6955.46452289000,1901478.44167999993
192,4,Queens,019200,4019200,I,QN76,Baisley Park,4112,8038.55967976000,2141522.14792999998
174,4,Queens,017400,4017400,I,QN55,South Ozone Park,4113,7456.07957296000,2073990.66926000011
176,4,Queens,017600,4017600,E,QN55,South Ozone Park,4113,7440.49979293000,2068075.39932000008
1435,4,Queens,143500,4143500,I,QN46,Bayside-Bayside Hills,4104,8640.84590489000,3803289.00405000011
1211,4,Queens,121100,4121100,I,QN99,park-cemetery-etc-Queens,4103,15525.28658390000,11184981.85219999962
138,4,Queens,013800,4013800,I,QN60,Kew Gardens,4111,8140.42183845000,1828863.66223999998
284,4,Queens,028400,4028400,I,QN76,Baisley Park,4112,8934.81623853000,4618712.37854999956
358,4,Queens,035800,4035800,I,QN66,Laurelton,4105,9898.99684867000,5642181.28364999965
580,4,Queens,058000,4058000,I,QN34,Queens Village,4105,11859.69763360000,5917014.34363000002
557,4,Queens,055700,4055700,E,QN20,Ridgewood,4110,7932.00122939000,2575670.51171999983
567,4,Queens,056700,4056700,E,QN19,Glendale,4110,10436.38837810000,3357493.73431999981
713.03,4,Queens,071303,4071303,I,QN17,Forest Hills,4108,6017.51732964000,1571444.32156999991
713.05,4,Queens,071305,4071305,I,QN17,Forest Hills,4108,5274.45451301000,1418825.15066999989
779.02,4,Queens,077902,4077902,I,QN37,Kew Gardens Hills,4106,10935.86844850000,6065854.24863000028
779.07,4,Queens,077907,4077907,E,QN37,Kew Gardens Hills,4106,6170.51417924000,2307804.25591999991
170,4,Queens,017000,4017000,I,QN55,South Ozone Park,4113,7740.70213736000,2379227.12190000014
194,4,Queens,019400,4019400,I,QN01,South Jamaica,4112,7753.72502227000,3230544.23674000008
22,3,Brooklyn,002200,3002200,E,BK32,Sunset Park West,4012,10231.91395890000,3690653.66637999984
119,2,Bronx,011900,2011900,E,BX27,Hunts Point,3710,5563.35410529000,1794111.25147000002
974,3,Brooklyn,097400,3097400,I,BK50,Canarsie,4009,7198.09559933000,2712076.67199000018
1098,3,Brooklyn,109800,3109800,I,BK82,East New York,4008,13569.35641030000,9189937.88945000060
445,3,Brooklyn,044500,3044500,E,BK77,Bushwick North,4002,5590.85473306000,1827456.06351000001
447,3,Brooklyn,044700,3044700,E,BK77,Bushwick North,4002,5524.59770617000,1752616.26934000012
616.02,4,Queens,061602,4061602,I,QN05,Rosedale,4105,10070.86932920000,4551815.71483999956
235.02,1,Manhattan,023502,1023502,E,MN03,Central Harlem North-Polo Grounds,3803,3399.58429056000,447807.70622499997
66,3,Brooklyn,006600,3006600,E,BK31,Bay Ridge,4013,5243.92522211000,1653273.39405000000
134,3,Brooklyn,013400,3013400,I,BK31,Bay Ridge,4013,8713.72797987000,2887202.85919999983
197.02,1,Manhattan,019702,1019702,E,MN11,Central Harlem South,3803,3204.62075286000,509562.31902000000
40,1,Manhattan,004000,1004000,I,MN22,East Village,3809,5563.56017936000,1927630.23010999989
70,3,Brooklyn,007000,3007000,I,BK31,Bay Ridge,4013,7182.33797380000,1586252.18998000002
72,3,Brooklyn,007200,3007200,E,BK32,Sunset Park West,4012,3455.52182212000,653314.96170400002
38,3,Brooklyn,003800,3003800,I,BK31,Bay Ridge,4013,5026.86666106000,1367702.80605000001
50,3,Brooklyn,005000,3005000,I,BK31,Bay Ridge,4013,7838.54690315000,2396074.69910999993
516,2,Bronx,051600,2051600,I,BX10,Pelham Bay-Country Club-City Island,3703,94401.43114360000,17352035.39339999855
620,3,Brooklyn,062000,3062000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,9588.80015358000,3439027.79166000010
390,3,Brooklyn,039000,3039000,I,BK25,Homecrest,4016,6671.62955227000,1871911.31523999991
328,2,Bronx,032800,2032800,E,BX07,Bronxdale,3704,7120.21212162000,2202647.79575000005
340,2,Bronx,034000,2034000,E,BX07,Bronxdale,3704,5860.17865721000,1704073.13950000005
392,3,Brooklyn,039200,3039200,E,BK25,Homecrest,4016,5599.07871476000,1877982.52493000007
584,3,Brooklyn,058400,3058400,I,BK25,Homecrest,4016,5767.45886214000,2026689.31639999989
788,3,Brooklyn,078800,3078800,E,BK42,Flatbush,4015,5903.99292729000,1694646.95525000012
49,3,Brooklyn,004900,3004900,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5528.99179810000,1051002.95270000002
63,3,Brooklyn,006300,3006300,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5763.00383844000,1084239.34135999996
94,3,Brooklyn,009400,3009400,E,BK34,Sunset Park East,4012,5203.58396217000,1625600.91057999991
96,3,Brooklyn,009600,3009600,E,BK34,Sunset Park East,4012,5203.07371531000,1622766.58594999998
82,3,Brooklyn,008200,3008200,E,BK32,Sunset Park West,4012,4989.68672014000,1517026.08403000003
86,3,Brooklyn,008600,3008600,I,BK34,Sunset Park East,4012,4685.24493575000,1221916.88705000002
1176.02,3,Brooklyn,117602,3117602,E,BK83,Cypress Hills-City Line,4008,5876.21531287000,1548007.99686000007
1178,3,Brooklyn,117800,3117800,E,BK83,Cypress Hills-City Line,4008,5879.12320200000,1511355.89740999998
328,4,Queens,032800,4032800,I,QN66,Laurelton,4105,11131.26571260000,3952889.77449000021
205,1,Manhattan,020500,1020500,I,MN09,Morningside Heights,3802,7148.86689629000,2977091.34166999999
349,3,Brooklyn,034900,3034900,E,BK61,Crown Heights North,4006,6098.13345710000,1756872.76163000008
551,3,Brooklyn,055100,3055100,E,BK73,North Side-South Side,4001,7123.81236604000,2511177.55113000004
418,2,Bronx,041800,2041800,E,BX62,Woodlawn-Wakefield,3702,7326.95073058000,2930549.21395999985
351,3,Brooklyn,035100,3035100,E,BK61,Crown Heights North,4006,6101.30323775000,1755149.78551999992
353,3,Brooklyn,035300,3035300,E,BK61,Crown Heights North,4006,6099.14699831000,1755455.71187000000
77,3,Brooklyn,007700,3007700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,10143.50289970000,4187533.83244000003
199,3,Brooklyn,019900,3019900,I,BK69,Clinton Hill,4004,5988.74107703000,2036726.76610999997
1142.02,3,Brooklyn,114202,3114202,E,BK83,Cypress Hills-City Line,4008,5234.53727444000,1281726.14159999997
642,3,Brooklyn,064200,3064200,I,BK44,Madison,4016,6854.43506412000,2530379.39822999993
644,3,Brooklyn,064400,3064400,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,6505.53126103000,2145902.19643000001
55,4,Queens,005500,4005500,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,5268.30131020000,1786237.89564000000
424,4,Queens,042400,4042400,I,QN08,St. Albans,4112,10751.68738050000,5546734.84021000005
432,4,Queens,043200,4043200,I,QN08,St. Albans,4112,9414.34198662000,2579208.91491999989
5.02,3,Brooklyn,000502,3000502,I,BK09,Brooklyn Heights-Cobble Hill,4004,4866.85478637000,1038555.22250000003
776,3,Brooklyn,077600,3077600,E,BK58,Flatlands,4009,6576.60853657000,2008023.36948000011
101,1,Manhattan,010100,1010100,I,MN17,Midtown-Midtown South,3807,5701.64027524000,1891336.12333999993
109,1,Manhattan,010900,1010900,I,MN17,Midtown-Midtown South,3807,5703.53127565000,1891364.66449999996
119,1,Manhattan,011900,1011900,E,MN17,Midtown-Midtown South,3807,5722.09033932000,1911310.52190000005
125,1,Manhattan,012500,1012500,I,MN17,Midtown-Midtown South,3807,5683.93707148000,1875481.62066000002
135,1,Manhattan,013500,1013500,E,MN15,Clinton,3807,15450.20368460000,4513475.07632999960
169,1,Manhattan,016900,1016900,I,MN12,Upper West Side,3806,5751.66133512000,1937087.80737999990
173,1,Manhattan,017300,1017300,I,MN12,Upper West Side,3806,5735.84500469000,1922492.22304999991
175,1,Manhattan,017500,1017500,I,MN12,Upper West Side,3806,6483.79142625000,2318953.18289999990
225,1,Manhattan,022500,1022500,E,MN04,Hamilton Heights,3802,7936.63392061000,2960365.43654000014
203,1,Manhattan,020300,1020300,E,MN09,Morningside Heights,3802,6065.23392929000,1916586.72071000002
231,1,Manhattan,023100,1023100,E,MN04,Hamilton Heights,3802,5606.71334419000,1962710.66348000010
245,1,Manhattan,024500,1024500,E,MN36,Washington Heights South,3801,6441.23495583000,2282409.76181000005
251,1,Manhattan,025100,1025100,E,MN36,Washington Heights South,3801,5376.09233772000,1715988.99705999997
271,1,Manhattan,027100,1027100,E,MN35,Washington Heights North,3801,6486.73174321000,2076588.53928999999
291,1,Manhattan,029100,1029100,E,MN01,Marble Hill-Inwood,3801,5717.67724375000,2018145.03475999995
293,1,Manhattan,029300,1029300,E,MN01,Marble Hill-Inwood,3801,5489.62355634000,1690644.70079999999
26.01,1,Manhattan,002601,1002601,E,MN28,Lower East Side,3809,4522.84222159000,1141510.04297999991
26.02,1,Manhattan,002602,1002602,E,MN28,Lower East Side,3809,4492.85610168000,1115989.34351000004
11,3,Brooklyn,001100,3001100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5760.47168844000,1814052.49797999999
200,3,Brooklyn,020000,3020000,E,BK30,Dyker Heights,4013,5280.94205649000,1451580.25557000004
202,3,Brooklyn,020200,3020200,I,BK30,Dyker Heights,4013,5281.12293939000,1451352.49188000010
160,3,Brooklyn,016000,3016000,E,BK31,Bay Ridge,4013,7935.15394362000,2785267.24417999992
168,3,Brooklyn,016800,3016800,I,BK27,Bath Beach,4017,5646.96180862000,1767486.75108000007
64,1,Manhattan,006400,1006400,I,MN21,Gramercy,3808,5558.70627149000,1938509.31527999998
108,1,Manhattan,010800,1010800,I,MN19,Turtle Bay-East Midtown,3808,5627.47731069000,1950021.48117999989
138,2,Bronx,013800,2013800,I,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,22553.60710160000,8330445.90608000010
158,2,Bronx,015800,2015800,E,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,5918.69118409000,1751816.27273999993
360.01,3,Brooklyn,036001,3036001,E,BK19,Brighton Beach,4018,4460.54832480000,1021600.49482000002
379,2,Bronx,037900,2037900,E,BX41,Mount Hope,3707,8418.60551140000,2064159.32884999993
381,2,Bronx,038100,2038100,E,BX41,Mount Hope,3707,6779.14663835000,1626409.49007999990
30.01,1,Manhattan,003001,1003001,E,MN27,Chinatown,3809,4758.46092991000,1344750.50847000000
30.02,1,Manhattan,003002,1003002,E,MN22,East Village,3809,4045.16613490000,841097.83808500005
59,1,Manhattan,005900,1005900,I,MN23,West Village,3810,5280.10249773000,1250316.24109999998
892,3,Brooklyn,089200,3089200,E,BK81,Brownsville,4007,7700.07315252000,1932413.20582000003
780,3,Brooklyn,078000,3078000,I,BK91,East Flatbush-Farragut,4010,5470.95551041000,1770932.90886999993
56,1,Manhattan,005600,1005600,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5723.84342116000,1878242.16791000008
54,3,Brooklyn,005400,3005400,I,BK31,Bay Ridge,4013,7538.96229511000,1735363.34752999991
25,2,Bronx,002500,2002500,E,BX39,Mott Haven-Port Morris,3710,5026.98477713000,1373985.98594999989
152,2,Bronx,015200,2015200,E,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,8887.22257952000,3151751.28321000002
442,2,Bronx,044200,2044200,E,BX62,Woodlawn-Wakefield,3702,7344.44701384000,2614475.73443999980
650,4,Queens,065000,4065000,I,QN66,Laurelton,4105,9259.52119851000,4304578.30324000027
610.04,3,Brooklyn,061004,3061004,E,BK19,Brighton Beach,4018,7049.48163577000,2383764.74414000008
608,3,Brooklyn,060800,3060800,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,17845.99466820000,4309013.64647999965
582,3,Brooklyn,058200,3058200,E,BK25,Homecrest,4016,5388.12310659000,1738266.68730000011
554,3,Brooklyn,055400,3055400,E,BK25,Homecrest,4016,5578.36453060000,1821785.66742999991
556,3,Brooklyn,055600,3055600,I,BK25,Homecrest,4016,5871.35722847000,2079990.27863999992
492,3,Brooklyn,049200,3049200,E,BK41,Kensington-Ocean Parkway,4014,8133.97273661000,1780102.34531000000
1522,3,Brooklyn,152200,3152200,I,BK42,Flatbush,4015,9340.19618501000,4194670.27601999976
217,3,Brooklyn,021700,3021700,E,BK61,Crown Heights North,4006,4576.36343006000,1281458.04768999992
834,3,Brooklyn,083400,3083400,I,BK91,East Flatbush-Farragut,4010,4991.01598254000,1355748.33364000008
854,3,Brooklyn,085400,3085400,I,BK91,East Flatbush-Farragut,4010,7324.94825219000,1385790.11006000009
788,4,Queens,078800,4078800,I,QN76,Baisley Park,4112,6645.69694830000,2072923.12388999993
918,4,Queens,091800,4091800,E,QN99,park-cemetery-etc-Queens,4114,20943.04416850000,12112409.76920000091
224.03,2,Bronx,022403,2022403,E,BX49,Pelham Parkway,3704,5656.25257606000,1338120.90253999992
16,1,Manhattan,001600,1001600,E,MN27,Chinatown,3809,6391.78847110000,2233319.75761999981
462.01,3,Brooklyn,046201,3046201,E,BK42,Flatbush,4015,4984.09943068000,1381203.78865000000
462.02,3,Brooklyn,046202,3046202,E,BK46,Ocean Parkway South,4014,7378.23665554000,1866093.56636999990
444,2,Bronx,044400,2044400,I,BX62,Woodlawn-Wakefield,3702,7796.41733980000,3925376.66905000014
448,2,Bronx,044800,2044800,I,BX62,Woodlawn-Wakefield,3702,5439.25867648000,1817406.93201000011
342,2,Bronx,034200,2034200,I,BX31,Allerton-Pelham Gardens,3704,5818.46811849000,1687802.71815000009
344,2,Bronx,034400,2034400,E,BX31,Allerton-Pelham Gardens,3704,5823.58135553000,1690333.24509000010
512,3,Brooklyn,051200,3051200,E,BK42,Flatbush,4015,5529.23628582000,1508346.95806999994
259.01,3,Brooklyn,025901,3025901,E,BK75,Bedford,4003,4269.11863220000,863635.76694799995
259.02,3,Brooklyn,025902,3025902,E,BK75,Bedford,4003,3211.23583863000,642013.90402500005
944.01,3,Brooklyn,094401,3094401,I,BK58,Flatlands,4009,10056.02405680000,3905513.04381999979
566,4,Queens,056600,4056600,I,QN34,Queens Village,4105,5710.00266593000,2097114.19117000001
279,1,Manhattan,027900,1027900,E,MN35,Washington Heights North,3801,7380.83644699000,1937418.59632000001
90,3,Brooklyn,009000,3009000,E,BK34,Sunset Park East,4012,5208.35347816000,1631111.60703000007
662,3,Brooklyn,066200,3066200,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,8217.52454278000,2488662.76415000018
42,1,Manhattan,004200,1004200,I,MN22,East Village,3809,5798.98111094000,933480.06842799997
61,1,Manhattan,006100,1006100,I,MN23,West Village,3810,5022.85171414000,1528892.45317999995
139,1,Manhattan,013900,1013900,I,MN15,Clinton,3807,5774.52051467000,1955059.89956000005
167,2,Bronx,016700,2016700,E,BX01,Claremont-Bathgate,3705,6579.95324518000,2215210.98964999989
229.02,2,Bronx,022902,2022902,E,BX41,Mount Hope,3707,4270.08086147000,1042641.34212000004
942.02,4,Queens,094202,4094202,E,QN12,Hammels-Arverne-Edgemere,4114,21762.61746710000,7610259.86285000015
50,5,Staten Island,005000,5005000,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,14213.96556590000,9159326.77779000066
121,5,Staten Island,012100,5012100,I,SI35,New Brighton-Silver Lake,3903,11138.02849470000,7991902.88748000003
77,5,Staten Island,007700,5007700,E,SI22,West New Brighton-New Brighton-St. George,3903,7327.43307405000,2675335.15427999990
11,5,Staten Island,001100,5001100,E,SI22,West New Brighton-New Brighton-St. George,3903,8693.57814934000,3499398.93531000009
167,3,Brooklyn,016700,3016700,I,BK37,Park Slope-Gowanus,4005,6191.45218382000,1818261.66729000001
224.04,2,Bronx,022404,2022404,E,BX49,Pelham Parkway,3704,4027.01003884000,999997.85297799995
698,3,Brooklyn,069800,3069800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,27352.74470480000,5433052.28567000013
947,4,Queens,094700,4094700,I,QN23,College Point,4103,8723.37875908000,2935620.77798999986
769.02,4,Queens,076902,4076902,I,QN17,Forest Hills,4108,4404.61195859000,1084634.37783999997
982,3,Brooklyn,098200,3098200,E,BK50,Canarsie,4009,8952.01315724000,3723765.62397000007
1058.04,3,Brooklyn,105804,3105804,E,BK93,Starrett City,4008,15701.76106850000,7076119.64159999974
30,3,Brooklyn,003000,3003000,I,BK31,Bay Ridge,4013,4715.15087730000,1174204.92027999996
1403,4,Queens,140300,4140300,I,QN46,Bayside-Bayside Hills,4104,8235.13505133000,4116709.24832999986
